Age,Education,Marital Status,Parental Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,NumWebVisitsMonth,cluster
76.0,2,1,0,0,37760.0,317.0,5072.0,20.0,84.0,5.0,38.0,120.5,12.0,28.0,4,1,6,2,0,7,1
73.0,3,1,1,1,76995.0,1782.0,4863.0,91.0,1012.0,80.0,498.0,0.0,16.0,126.5,11,4,9,2,1,5,1
37.0,1,0,1,1,33812.0,133.0,5008.0,86.0,4.0,17.0,19.0,30.0,24.0,39.0,2,1,3,2,0,6,0
40.0,2,1,0,0,37040.0,316.0,5095.0,41.0,86.0,2.0,73.0,69.0,38.0,48.0,4,2,5,1,0,8,1
43.0,2,1,1,1,2447.0,1730.0,4944.0,42.0,1.0,1.0,556.0,1.0,1.0,1.0,0,28,0,15,0,1,1
73.0,4,1,1,1,58607.0,972.0,4958.0,63.0,867.0,0.0,86.0,0.0,0.0,19.0,2,3,9,3,1,8,1
68.0,4,1,1,1,65324.0,544.0,4574.0,0.0,384.0,0.0,102.0,21.0,32.0,5.0,6,2,9,3,0,4,1
71.0,2,1,1,1,40689.0,444.0,4873.0,69.0,270.0,3.0,27.0,39.0,6.0,99.0,7,1,5,7,0,8,1
53.0,2,0,0,0,18589.0,75.0,4948.0,89.0,6.0,4.0,25.0,15.0,12.0,13.0,2,1,3,2,0,7,0
46.0,2,1,1,2,53359.0,257.0,4803.0,4.0,173.0,4.0,30.0,3.0,6.0,41.0,5,1,4,4,0,7,1
36.0,2,0,1,1,51381.5,637.0,4899.0,19.0,5.0,1.0,3.0,3.0,81.0,126.5,27,0,0,0,0,1,1
33.0,2,1,1,1,38360.0,131.0,4799.0,26.0,36.0,2.0,42.0,20.0,21.0,10.0,2,1,4,2,0,3,0
57.0,4,1,0,0,84618.0,1672.0,4624.0,96.0,684.0,81.0,556.0,21.0,66.0,0.0,6,9,10,1,1,2,2
33.0,3,0,0,0,10979.0,30.0,4443.0,34.0,8.0,4.0,10.0,2.0,2.0,4.0,3,0,3,2,0,5,0
59.0,3,1,0,0,38620.0,318.0,4819.0,56.0,112.0,17.0,44.0,34.0,22.0,89.0,2,5,3,1,0,3,2
52.0,2,1,1,1,40548.0,120.0,5032.0,31.0,110.0,0.0,5.0,2.0,0.0,3.0,2,1,4,2,1,5,0
70.0,4,0,1,2,46610.0,302.0,5013.0,8.0,96.0,12.0,96.0,33.0,22.0,43.0,4,1,6,6,0,6,1
76.0,3,1,0,0,68657.0,1196.0,4899.0,4.0,482.0,34.0,471.0,119.0,68.0,22.0,3,5,9,1,0,7,2
71.0,3,0,1,2,49389.0,65.0,4709.0,55.0,40.0,0.0,19.0,2.0,1.0,3.0,2,0,3,1,0,7,0
52.0,4,1,1,1,67353.0,913.0,4585.0,37.0,702.0,17.0,151.0,0.0,8.0,35.0,5,6,12,5,0,2,1
46.0,1,1,1,1,23718.0,81.0,4705.0,76.0,6.0,3.0,14.0,15.0,7.0,36.0,3,1,2,3,0,7,0
49.0,2,0,1,1,42429.0,67.0,4543.0,99.0,55.0,0.0,6.0,2.0,0.0,4.0,1,1,3,2,0,5,0
79.0,4,0,0,0,48948.0,902.0,4918.0,53.0,437.0,8.0,206.0,120.5,49.0,42.0,7,10,5,2,1,6,2
42.0,2,1,1,1,80011.0,1395.0,4831.0,3.0,421.0,76.0,536.0,82.0,81.0,102.0,8,6,5,2,0,4,2
37.0,3,1,1,1,20559.0,53.0,4879.0,88.0,13.0,1.0,29.0,3.0,0.0,7.0,2,0,3,2,0,8,0
65.0,2,1,1,1,21994.0,22.0,4957.0,4.0,9.0,0.0,6.0,3.0,1.0,3.0,0,0,3,1,0,5,0
63.0,4,0,0,0,51381.5,186.0,4641.0,80.0,81.0,11.0,50.0,3.0,2.0,39.0,1,3,4,1,0,2,0
47.0,3,1,1,1,7500.0,31.0,4675.0,19.0,3.0,1.0,10.0,3.0,2.0,12.0,2,0,3,3,0,5,0
46.0,2,0,0,0,79941.0,984.0,4406.0,72.0,123.0,81.0,266.0,120.5,30.0,126.5,2,4,9,1,0,1,2
26.0,1,1,0,0,7500.0,122.0,5002.0,24.0,3.0,18.0,14.0,15.0,22.0,50.0,3,1,3,3,0,9,0
54.0,2,1,1,1,41728.0,55.0,4806.0,92.0,13.0,6.0,15.0,3.0,5.0,13.0,2,0,2,1,0,10,0
71.0,2,0,1,3,51381.5,124.0,4584.0,96.0,48.0,5.0,48.0,6.0,10.0,7.0,2,1,4,3,0,6,0
68.0,4,1,1,2,72550.0,1319.0,5003.0,39.0,826.0,50.0,317.0,50.0,38.0,38.0,5,2,12,9,0,8,1
65.0,2,0,1,1,65486.0,507.0,4453.0,29.0,245.0,19.0,125.0,37.0,67.0,14.0,4,2,10,1,0,2,2
58.0,3,1,0,0,79143.0,1693.0,5092.0,2.0,650.0,37.0,556.0,27.0,81.0,32.0,6,9,13,1,0,3,2
45.0,2,0,1,1,35790.0,72.0,4948.0,54.0,12.0,6.0,20.0,30.0,1.0,3.0,2,0,3,2,0,7,0
45.0,2,0,0,0,82582.0,1617.0,4427.0,54.0,510.0,81.0,550.0,120.5,40.0,126.5,4,9,7,1,2,1,2
44.0,2,1,1,2,66373.0,606.0,4787.0,57.0,328.0,9.0,124.0,12.0,24.0,109.0,4,2,10,7,0,3,1
67.0,3,1,0,0,82384.0,1957.0,4992.0,55.0,984.0,51.0,432.0,120.5,81.0,126.5,3,10,13,1,1,1,2
56.0,2,0,0,0,70287.0,1093.0,4858.0,30.0,295.0,35.0,482.0,120.5,81.0,40.0,5,5,10,1,0,3,2
34.0,2,0,1,1,27938.0,29.0,4467.0,31.0,13.0,0.0,8.0,2.0,1.0,5.0,1,0,4,1,0,3,0
40.0,2,0,1,1,51381.5,46.0,4782.0,57.0,11.0,3.0,22.0,2.0,2.0,6.0,2,0,3,2,0,6,0
54.0,4,1,1,1,55954.0,518.0,4523.0,63.0,447.0,0.0,28.0,0.0,0.0,43.0,8,2,6,3,0,7,1
40.0,3,0,0,0,75777.0,1438.0,4765.0,12.0,712.0,26.0,538.0,69.0,13.0,80.0,3,6,11,1,2,1,2
47.0,2,1,1,2,66653.0,612.0,5065.0,18.0,452.0,18.0,102.0,16.0,18.0,6.0,4,2,12,4,0,3,1
70.0,2,0,1,1,61823.0,884.0,4901.0,26.0,523.0,7.0,134.0,37.0,14.0,126.5,8,2,10,4,0,7,1
71.0,4,0,1,1,67680.0,606.0,4788.0,8.0,546.0,0.0,48.0,0.0,6.0,6.0,7,3,8,1,0,5,1
74.0,2,1,0,0,70666.0,1076.0,4610.0,29.0,398.0,40.0,367.0,119.0,81.0,30.0,7,4,4,1,0,4,2
51.0,2,1,1,1,25721.0,34.0,4809.0,75.0,1.0,3.0,6.0,3.0,6.0,15.0,1,1,2,1,0,7,0
55.0,2,1,1,2,32474.0,11.0,4454.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1,0,2,1,0,7,0
43.0,1,0,1,1,88194.0,1274.0,4507.0,19.0,688.0,14.0,309.0,120.5,24.0,38.0,11,10,10,1,2,5,2
64.0,2,1,1,1,69096.0,653.0,4680.0,4.0,247.0,49.0,159.0,7.0,81.0,109.0,5,2,10,1,0,4,1
52.0,2,1,1,3,74854.0,1562.0,4852.0,90.0,856.0,59.0,487.0,58.0,29.0,73.0,2,5,5,7,0,5,1
68.0,3,1,0,0,66991.0,1253.0,5061.0,1.0,496.0,36.0,460.0,120.5,60.0,12.0,4,8,6,3,0,3,2
49.0,1,1,1,1,51381.5,109.0,5058.0,25.0,25.0,3.0,43.0,17.0,4.0,17.0,3,0,3,3,0,8,0
63.0,2,1,1,1,65031.0,863.0,4874.0,29.0,258.0,81.0,291.0,84.0,37.0,86.0,10,3,13,4,0,7,1
47.0,4,1,1,2,60631.0,661.0,4855.0,88.0,565.0,6.0,65.0,0.0,6.0,19.0,9,2,8,5,1,7,1
70.0,2,1,0,0,28332.0,65.0,4465.0,58.0,14.0,10.0,13.0,4.0,15.0,9.0,2,1,4,1,0,2,0
45.0,2,0,1,1,40246.0,13.0,4962.0,68.0,2.0,1.0,6.0,2.0,1.0,1.0,1,0,2,1,0,6,0
50.0,3,1,0,0,75251.0,1890.0,5076.0,34.0,721.0,81.0,556.0,97.0,18.0,18.0,7,6,5,1,0,5,2
46.0,2,0,0,0,75825.0,2209.0,5030.0,40.0,1032.0,81.0,556.0,120.5,81.0,51.0,5,8,9,0,1,4,2
46.0,1,1,0,0,26326.0,18.0,4703.0,12.0,1.0,0.0,5.0,0.0,3.0,9.0,0,0,3,1,0,3,0
57.0,2,1,0,0,56046.0,692.0,4948.0,9.0,577.0,0.0,64.0,0.0,0.0,51.0,10,1,8,2,1,8,1
37.0,2,0,1,1,29760.0,165.0,5074.0,87.0,64.0,4.0,68.0,7.0,5.0,17.0,3,1,4,4,0,8,0
53.0,2,1,1,1,26304.0,16.0,4776.0,5.0,4.0,1.0,5.0,2.0,0.0,4.0,1,0,2,1,0,7,0
49.0,1,1,1,1,23559.0,79.0,4766.0,87.0,25.0,5.0,19.0,7.0,0.0,23.0,3,0,3,3,0,7,0
59.0,3,1,0,0,38620.0,318.0,4819.0,56.0,112.0,17.0,44.0,34.0,22.0,89.0,2,5,3,1,0,3,2
35.0,2,0,0,0,81361.0,778.0,4529.0,18.0,163.0,23.0,424.0,27.0,65.0,76.0,3,10,13,1,0,1,2
62.0,2,1,1,2,29440.0,56.0,4727.0,95.0,17.0,8.0,14.0,10.0,4.0,3.0,1,0,4,2,0,7,0
52.0,3,1,1,2,36138.0,151.0,4753.0,48.0,130.0,0.0,16.0,0.0,0.0,5.0,3,1,4,5,1,7,0
65.0,2,0,1,1,50388.0,372.0,4437.0,3.0,292.0,6.0,37.0,0.0,3.0,34.0,6,1,6,4,2,7,1
49.0,2,1,0,0,79593.0,1366.0,4453.0,70.0,350.0,60.0,556.0,110.0,81.0,126.5,5,6,7,1,1,2,2
55.0,2,1,1,1,54178.0,194.0,4564.0,79.0,135.0,9.0,39.0,4.0,0.0,7.0,2,2,5,1,0,2,0
65.0,4,1,1,3,51381.5,603.0,4992.0,4.0,230.0,42.0,192.0,49.0,37.0,53.0,7,2,8,12,0,9,1
65.0,2,0,1,2,51381.5,18.0,4438.0,45.0,7.0,0.0,8.0,2.0,0.0,1.0,1,0,2,1,0,7,0
49.0,3,1,0,0,51381.5,985.0,4623.0,87.0,445.0,37.0,359.0,98.0,28.0,18.0,2,4,8,1,0,1,2
50.0,3,0,1,1,42394.0,32.0,4503.0,69.0,15.0,2.0,10.0,0.0,1.0,4.0,1,0,3,1,0,7,0
52.0,4,1,1,1,23626.0,43.0,4441.0,84.0,27.0,2.0,14.0,0.0,0.0,0.0,3,1,3,3,0,5,0
39.0,2,1,1,1,30096.0,45.0,4443.0,30.0,5.0,3.0,11.0,12.0,5.0,9.0,2,0,3,1,0,6,0
62.0,2,0,1,1,47916.0,606.0,4989.0,72.0,505.0,0.0,26.0,0.0,0.0,75.0,7,4,6,5,1,6,1
50.0,2,0,1,2,51813.0,63.0,4849.0,37.0,51.0,2.0,7.0,0.0,1.0,2.0,2,0,3,2,0,7,0
71.0,1,1,0,0,78497.0,978.0,4615.0,44.0,207.0,26.0,447.0,75.0,0.0,126.5,5,7,12,1,1,2,2
39.0,4,1,0,0,50150.0,410.0,4779.0,32.0,135.0,46.0,92.0,65.0,61.0,11.0,5,2,7,2,0,5,2
62.0,1,0,1,1,47823.0,72.0,4746.0,0.0,53.0,1.0,5.0,2.0,1.0,10.0,2,0,3,2,0,8,0
63.0,4,0,1,1,34554.0,55.0,4496.0,43.0,41.0,1.0,6.0,2.0,0.0,5.0,2,0,3,2,0,6,0
43.0,2,1,1,1,85693.0,1169.0,4840.0,59.0,386.0,81.0,183.0,120.5,81.0,111.0,9,5,11,2,0,5,2
77.0,4,1,0,0,65846.0,1120.0,4813.0,68.0,562.0,81.0,276.0,80.0,40.0,81.0,6,3,6,1,0,4,2
63.0,2,1,0,0,87195.0,1097.0,4457.0,35.0,217.0,76.0,556.0,50.0,26.0,38.0,3,11,5,1,0,1,2
43.0,0,1,1,1,24594.0,29.0,4606.0,94.0,1.0,3.0,6.0,10.0,0.0,9.0,1,0,3,1,0,5,0
58.0,2,1,1,2,49096.0,187.0,4683.0,15.0,144.0,1.0,32.0,2.0,1.0,7.0,4,1,4,4,0,7,0
53.0,2,1,1,2,52413.0,910.0,4917.0,56.0,295.0,81.0,271.0,75.0,81.0,65.0,6,4,12,4,0,6,1
44.0,2,0,1,1,38557.0,145.0,4962.0,17.0,76.0,3.0,31.0,4.0,4.0,27.0,3,1,3,2,0,7,0
62.0,3,1,0,0,89058.0,850.0,4974.0,18.0,454.0,81.0,106.0,31.0,22.0,43.0,5,4,4,1,0,2,2
43.0,2,1,1,1,77298.0,969.0,4644.0,46.0,425.0,81.0,292.0,23.0,35.0,79.0,6,6,11,1,0,3,2
31.0,4,0,0,0,68126.0,1820.0,5001.0,40.0,1225.0,17.0,311.0,23.0,51.0,86.0,7,4,5,1,1,9,2
59.0,3,1,1,1,57288.0,608.0,4409.0,27.0,527.0,0.0,21.0,0.0,0.0,60.0,8,1,8,3,1,6,1
31.0,2,0,0,0,86037.0,730.0,4948.0,95.0,490.0,44.0,125.0,29.0,20.0,22.0,6,7,11,1,2,3,2
42.0,4,1,1,1,43974.0,551.0,4969.0,19.0,378.0,0.0,101.0,0.0,0.0,72.0,6,4,6,5,0,7,1
60.0,2,0,1,2,50785.0,114.0,4697.0,27.0,64.0,1.0,21.0,0.0,1.0,27.0,2,1,3,2,0,6,0
52.0,2,1,0,0,90765.0,1724.0,4561.0,25.0,547.0,81.0,556.0,120.5,81.0,33.0,4,6,5,0,2,1,2
44.0,1,1,1,1,36550.0,577.0,4900.0,74.0,47.0,81.0,94.0,120.5,81.0,120.0,9,1,5,5,0,9,1
55.0,1,1,1,2,30753.0,81.0,4758.0,85.0,12.0,5.0,25.0,0.0,9.0,30.0,1,1,3,2,0,5,0
53.0,2,1,1,1,21918.0,33.0,4632.0,37.0,1.0,6.0,7.0,11.0,5.0,3.0,2,0,3,2,0,6,0
69.0,3,1,1,1,56129.0,660.0,4779.0,65.0,320.0,48.0,133.0,39.0,72.0,48.0,6,2,10,4,0,4,1
55.0,3,0,1,1,32557.0,80.0,4530.0,13.0,34.0,3.0,29.0,0.0,4.0,10.0,2,1,3,3,0,5,0
37.0,3,1,1,2,19510.0,30.0,4703.0,63.0,9.0,0.0,7.0,3.0,4.0,7.0,1,0,3,2,0,7,0
46.0,2,0,1,1,30992.0,43.0,4838.0,83.0,17.0,0.0,14.0,7.0,3.0,2.0,1,0,3,1,0,7,0
39.0,2,0,0,0,101970.0,1135.0,4879.0,69.0,722.0,27.0,102.0,44.0,72.0,126.5,6,8,13,0,3,2,2
57.0,1,1,0,0,71488.0,559.0,4901.0,87.0,162.0,33.0,124.0,40.0,28.0,126.5,3,4,7,2,0,1,2
38.0,2,0,0,0,79607.0,1923.0,4839.0,37.0,450.0,81.0,556.0,120.5,0.0,126.5,3,6,6,1,0,1,2
69.0,3,1,1,2,54348.0,90.0,4426.0,51.0,70.0,0.0,16.0,0.0,0.0,4.0,2,0,4,2,0,6,0
61.0,4,1,1,1,51381.5,404.0,4758.0,23.0,352.0,0.0,27.0,10.0,0.0,15.0,6,1,7,3,0,6,1
66.0,4,1,1,2,77376.0,661.0,4455.0,72.0,492.0,19.0,110.0,16.0,12.0,12.0,6,3,10,4,0,4,1
70.0,2,1,1,1,62998.0,463.0,4677.0,10.0,120.0,58.0,73.0,65.0,81.0,58.0,5,4,5,5,0,5,1
64.0,3,0,1,2,61331.0,632.0,4881.0,42.0,534.0,5.0,47.0,0.0,5.0,41.0,11,1,6,5,0,8,1
53.0,2,1,0,0,73448.0,725.0,4544.0,10.0,236.0,81.0,189.0,23.0,41.0,126.5,7,2,9,1,0,4,2
59.0,2,1,1,1,51381.5,725.0,4727.0,96.0,231.0,65.0,196.0,38.0,71.0,124.0,6,5,7,1,0,4,1
58.0,4,1,1,2,41551.0,279.0,4724.0,51.0,220.0,0.0,33.0,3.0,0.0,23.0,5,1,5,5,0,8,1
55.0,4,1,0,0,62981.0,1482.0,4874.0,21.0,796.0,14.0,556.0,38.0,44.0,0.0,4,5,13,1,1,3,2
46.0,0,0,1,1,9548.0,29.0,5095.0,31.0,0.0,1.0,3.0,10.0,6.0,9.0,1,0,3,2,0,8,0
63.0,4,1,1,3,33762.0,106.0,4762.0,61.0,53.0,1.0,34.0,2.0,0.0,16.0,2,2,2,3,0,8,0
49.0,4,0,1,2,35860.0,49.0,4446.0,37.0,15.0,0.0,8.0,4.0,2.0,20.0,1,1,2,2,1,5,0
57.0,4,0,1,2,36921.0,38.0,4741.0,74.0,17.0,1.0,12.0,3.0,1.0,4.0,2,0,3,2,0,7,0
30.0,3,0,0,0,92859.0,2077.0,5023.0,46.0,962.0,61.0,556.0,52.0,61.0,20.0,5,4,12,1,0,2,2
46.0,3,1,1,1,65104.0,1053.0,4632.0,4.0,738.0,0.0,232.0,13.0,20.0,50.0,3,5,7,2,0,7,1
60.0,2,1,0,0,86111.0,1385.0,4841.0,73.0,399.0,28.0,556.0,36.0,40.0,126.0,5,7,10,1,0,2,2
48.0,4,0,1,1,68352.0,871.0,4710.0,47.0,614.0,16.0,132.0,43.0,33.0,33.0,8,5,9,3,0,6,1
34.0,2,1,1,1,41883.0,312.0,4872.0,13.0,32.0,34.0,41.0,73.0,16.0,116.0,4,2,3,3,0,7,1
46.0,2,1,1,2,59809.0,877.0,5024.0,36.0,598.0,16.0,141.0,32.0,41.0,49.0,3,3,6,3,0,8,1
47.0,2,1,1,1,23957.0,68.0,5014.0,47.0,2.0,1.0,18.0,20.0,11.0,16.0,2,0,3,1,0,6,0
41.0,2,1,1,1,38547.0,22.0,4710.0,49.0,6.0,1.0,10.0,0.0,1.0,4.0,1,0,2,1,0,8,0
49.0,1,1,1,3,35688.0,211.0,5081.0,94.0,73.0,3.0,90.0,12.0,1.0,32.0,4,1,4,7,0,8,1
56.0,3,1,0,0,49605.0,127.0,4413.0,65.0,42.0,16.0,29.0,12.0,20.0,8.0,2,1,4,1,0,3,0
69.0,3,1,1,2,59354.0,459.0,4471.0,59.0,295.0,21.0,78.0,39.0,13.0,13.0,4,4,7,1,0,3,1
53.0,2,1,1,1,65747.0,460.0,4519.0,96.0,346.0,17.0,48.0,23.0,13.0,13.0,8,1,6,4,1,6,1
50.0,1,1,1,1,46344.0,429.0,4967.0,28.0,233.0,20.0,57.0,8.0,20.0,91.0,7,1,5,4,0,7,1
34.0,2,0,1,1,34176.0,89.0,4453.0,12.0,5.0,7.0,24.0,19.0,14.0,20.0,3,0,4,4,0,6,0
70.0,4,1,1,1,61010.0,1021.0,5033.0,57.0,888.0,0.0,57.0,0.0,0.0,76.0,8,5,11,2,0,5,1
73.0,2,1,0,0,69372.0,1381.0,4900.0,10.0,997.0,26.0,269.0,34.0,13.0,42.0,10,4,6,1,2,4,2
64.0,2,0,1,1,49967.0,306.0,4761.0,4.0,212.0,6.0,69.0,4.0,12.0,3.0,6,1,5,3,0,7,1
44.0,2,0,1,3,60199.0,18.0,4695.0,49.0,8.0,1.0,7.0,2.0,0.0,0.0,0,0,3,1,0,4,0
45.0,2,1,1,1,55375.0,162.0,4660.0,3.0,42.0,11.0,57.0,10.0,28.0,14.0,1,1,6,1,0,2,0
67.0,2,0,0,0,80317.0,1231.0,4718.0,64.0,536.0,11.0,387.0,120.5,81.0,57.0,3,4,10,1,0,1,2
64.0,3,0,1,3,30523.0,13.0,4768.0,0.0,5.0,0.0,3.0,0.0,0.0,5.0,1,0,2,1,0,7,0
77.0,4,1,0,0,70356.0,1706.0,5006.0,20.0,1225.0,16.0,249.0,43.0,16.0,33.0,10,6,9,2,0,6,2
38.0,2,1,1,1,23228.0,121.0,4580.0,91.0,53.0,3.0,49.0,7.0,4.0,5.0,3,0,4,4,0,8,0
47.0,4,0,0,0,74165.0,1293.0,4829.0,9.0,1001.0,12.0,240.0,16.0,12.0,12.0,5,4,10,1,0,2,2
49.0,4,1,1,1,117416.25,1608.0,4525.0,98.0,20.0,2.0,556.0,1.0,2.0,1.0,0,22,0,15,0,0,1
56.0,2,1,1,3,43482.0,88.0,4633.0,83.0,18.0,1.0,32.0,6.0,3.0,28.0,2,0,4,3,0,6,0
69.0,2,0,0,0,62551.0,421.0,4628.0,27.0,125.0,16.0,98.0,120.5,21.0,27.0,6,7,4,1,1,3,2
63.0,2,0,0,0,52332.0,259.0,4710.0,63.0,212.0,5.0,33.0,7.0,0.0,2.0,3,2,6,1,1,4,0
34.0,2,0,0,0,66951.0,1117.0,4644.0,46.0,277.0,81.0,305.0,120.5,76.0,124.0,3,4,7,1,0,1,2
65.0,2,1,1,2,26091.0,89.0,4529.0,84.0,15.0,10.0,19.0,8.0,17.0,20.0,2,1,3,3,0,5,0
57.0,2,1,1,2,33456.0,36.0,4474.0,58.0,7.0,3.0,10.0,8.0,1.0,7.0,1,0,3,2,0,7,0
40.0,2,1,1,1,28718.0,57.0,4756.0,78.0,12.0,4.0,6.0,11.0,8.0,16.0,2,0,3,2,0,8,0
52.0,2,1,1,2,50447.0,148.0,4474.0,4.0,85.0,7.0,24.0,2.0,3.0,27.0,3,1,3,1,0,6,0
63.0,4,1,1,2,53537.0,93.0,4555.0,17.0,81.0,0.0,6.0,0.0,0.0,6.0,2,1,3,2,0,5,0
55.0,2,0,1,1,52074.0,119.0,4491.0,77.0,59.0,0.0,12.0,0.0,0.0,48.0,2,2,2,1,1,4,0
47.0,4,1,1,1,80427.0,1835.0,5060.0,56.0,1149.0,71.0,449.0,69.0,71.0,26.0,11,8,8,1,0,5,2
74.0,4,1,0,0,83837.0,1318.0,4965.0,79.0,847.0,66.0,119.0,86.0,81.0,111.0,9,10,5,1,2,4,2
52.0,4,1,1,2,38853.0,45.0,4442.0,90.0,29.0,0.0,14.0,0.0,0.0,2.0,2,0,3,2,0,7,0
63.0,2,1,1,3,38285.0,10.0,4410.0,96.0,2.0,0.0,5.0,2.0,0.0,1.0,0,0,3,1,0,2,0
71.0,1,1,0,0,78497.0,978.0,4615.0,44.0,207.0,26.0,447.0,75.0,0.0,126.5,5,7,12,1,1,2,2
46.0,4,1,1,1,51650.0,191.0,4454.0,81.0,152.0,3.0,22.0,2.0,5.0,7.0,4,1,4,1,0,5,0
34.0,1,1,1,1,16248.0,57.0,4455.0,77.0,12.0,11.0,10.0,3.0,12.0,9.0,2,1,3,3,0,6,0
76.0,3,1,0,0,66835.0,1033.0,4679.0,21.0,620.0,26.0,195.0,34.0,17.0,126.5,6,4,13,1,0,2,2
38.0,3,1,1,1,30477.0,66.0,4563.0,16.0,47.0,1.0,6.0,0.0,0.0,12.0,1,1,3,1,0,6,0
61.0,0,1,0,0,28249.0,43.0,4419.0,80.0,1.0,9.0,7.0,2.0,14.0,10.0,2,0,3,1,0,6,0
39.0,2,1,1,1,25271.0,50.0,4976.0,45.0,10.0,1.0,18.0,10.0,4.0,7.0,1,1,2,1,0,9,0
52.0,4,0,1,1,32303.0,39.0,4518.0,63.0,35.0,0.0,2.0,0.0,0.0,2.0,1,0,4,2,0,5,0
56.0,2,1,1,1,61286.0,608.0,4736.0,34.0,356.0,0.0,107.0,19.0,9.0,117.0,7,1,8,2,0,5,1
46.0,2,1,0,0,74068.0,1581.0,4872.0,14.0,783.0,30.0,537.0,120.5,76.0,15.0,4,10,9,1,0,2,2
58.0,4,1,1,2,45759.0,68.0,4896.0,13.0,42.0,1.0,18.0,3.0,0.0,4.0,2,0,3,2,0,7,0
44.0,0,1,1,1,24882.0,80.0,5063.0,52.0,1.0,4.0,10.0,29.0,0.0,36.0,1,1,2,1,1,6,0
33.0,4,1,0,0,66973.0,1282.0,4813.0,98.0,466.0,22.0,432.0,120.5,81.0,102.0,8,7,12,1,0,3,2
90.0,1,0,1,1,36640.0,65.0,4681.0,99.0,15.0,6.0,8.0,7.0,4.0,25.0,2,1,2,1,0,5,0
34.0,2,1,1,1,38872.0,91.0,4800.0,93.0,23.0,3.0,21.0,3.0,19.0,22.0,3,0,3,2,0,8,0
49.0,2,1,1,2,51148.0,315.0,4901.0,38.0,235.0,6.0,45.0,8.0,9.0,12.0,5,1,6,4,0,6,1
45.0,2,1,1,2,31353.0,31.0,4587.0,24.0,10.0,0.0,10.0,3.0,1.0,7.0,1,1,2,2,0,8,0
42.0,3,1,0,0,69661.0,834.0,4452.0,80.0,656.0,16.0,106.0,32.0,16.0,8.0,7,3,12,1,0,3,2
68.0,2,1,0,0,80067.0,1600.0,4688.0,82.0,519.0,17.0,556.0,27.0,81.0,51.0,4,6,6,1,1,2,2
68.0,2,1,0,0,86718.0,1270.0,4933.0,20.0,344.0,81.0,482.0,50.0,33.0,126.5,5,6,5,1,0,2,2
49.0,4,0,1,2,46854.0,263.0,4495.0,81.0,96.0,1.0,79.0,7.0,1.0,79.0,5,1,3,6,1,8,1
70.0,2,0,1,1,69142.0,535.0,4405.0,50.0,448.0,4.0,34.0,6.0,4.0,39.0,8,1,7,3,1,5,1
